"date","Windsor","SP500"
2017-04-11,-0.138687917794911,-0.129340529505995
2017-04-12,-0.740744370140267,-0.374613956388337
2017-04-13,-0.74626293809904,-0.680824702138749
2017-04-17,1.03383074915513,0.861726073450675
2017-04-18,-0.511633059498184,-0.287660608813955
2017-04-19,-0.140244021392943,-0.157686717496064
2017-04-20,0.936323543706963,0.758300246300858
2017-04-21,-0.371061685878848,-0.303555468910055
2017-04-24,1.25699214668493,1.08572543820746
2017-04-25,0.505747576006388,0.609211026845724
2017-04-26,-0.0914980959644596,-0.0474700263659478
2017-04-27,0.0915818916515709,0.0655642222586517
2017-04-28,-0.594700736812348,-0.190483661623775
2017-05-01,0.230104451037749,0.173615568453345
2017-05-02,0.0918156654277968,0.118892027391215
2017-05-03,0.045874967918258,-0.107006370907237
2017-05-04,0.0458539324414753,0.0635795048439913
2017-05-05,0.504129743460857,0.410109329372355
2017-05-08,0.045593825566459,0.0138704992023619
2017-05-09,-0.0911552822561168,-0.0979264172641381
2017-05-10,0.273715352770743,0.151369815276992
2017-05-11,-0.318467482089191,-0.184054794380317
2017-05-12,-0.31948953807357,-0.145996370387991
2017-05-15,0.686813421371446,0.489897917667337
2017-05-16,0.0909480182710087,-0.0486432872013109
2017-05-17,-2.04452137914612,-1.78834182340426
2017-05-18,0.231918813081333,0.370659204570467
2017-05-19,0.879208494536265,0.678893076131537
2017-05-22,0.458717314258728,0.518051554312771
2017-05-23,0.273974544594635,0.186033272819031
2017-05-24,0.182153709898158,0.252557437347445
2017-05-25,0.22726668798605,0.458074947900355
2017-05-26,0,0.0442681471521711
2017-05-30,-0.27210620036171,-0.105036592160834
2017-05-31,-0.181896036542017,-0.0305309685178834
2017-06-01,1.04783568336277,0.769356945291078
2017-06-02,0.0901734727120962,0.372460764214111
2017-06-05,-0.315325087084317,-0.11823472598419
2017-06-06,-0.225936206702981,-0.277624845646163
2017-06-07,0.0905864376253396,0.177842638907233
2017-06-08,0.316738220248447,0.0294074532590782
2017-06-09,0.405952306207458,-0.0826620334296146
2017-06-12,-0.0449179098030106,-0.0906223938525463
2017-06-13,0.629210341632813,0.476782693436695
2017-06-14,-0.267978661285251,-0.0924003608441248
2017-06-15,-0.31348033131986,-0.205588620504504
2017-06-16,0.0898539316664726,0.0291895591259639
2017-06-19,0.897655761413385,0.835954791718208
2017-06-20,-0.820508488566951,-0.66871453958498
2017-06-21,-0.226044293578465,-0.049328362276635
2017-06-22,-0.0453149071137249,-0.0446781831719978
2017-06-23,0.181328204049325,0.156012220179047
2017-06-26,0.180990950226234,0.0327269096727978
2017-06-27,-0.542000927822983,-0.8072619552001
2017-06-28,0.95367847411445,0.90078444424595
2017-06-29,-0.44984705353126,-0.856873034400885
2017-06-30,0.0903795793212536,0.158423580201617
2017-07-03,0.632058690744919,0.240468889299716
2017-07-05,-0.0448631653269138,0.164832069741849
2017-07-06,-0.852787214865913,-0.900931706145469
2017-07-07,0.724309642372112,0.641455093033083
2017-07-10,0.134835955056167,0.0932813030246171
2017-07-11,-0.0897710911233696,-0.0769816708428794
2017-07-12,0.494164420485155,0.739272479046527
2017-07-13,0.357621798944052,0.190035663320343
2017-07-14,0.311799540677082,0.468999862557484
2017-07-17,0,-0.00210669201254898
2017-07-18,-0.266434280639427,0.0618761894403574
2017-07-19,0.667862897055338,0.546455710144955
2017-07-20,-0.0884608541149579,-0.00858022069974984
2017-07-21,-0.0442673749446731,-0.0370309478511466
2017-07-24,0,-0.104011163148721
2017-07-25,0.487161204605857,0.292052140407484
2017-07-26,-0.088148960416512,0.0286213816645953
2017-07-27,-0.529338332598162,-0.0866757413167552
2017-07-28,-0.0886829307619963,-0.130422391450058
2017-07-31,0.0443852621222707,-0.0724141168416348
2017-08-01,0.177457844833273,0.245257381943009
2017-08-02,-0.132865367581925,0.0683208215653597
2017-08-03,-0.620838165003912,-0.199388770575859
2017-08-04,0.178496207050416,0.190787607370657
2017-08-07,0.0445345191744106,0.167463688021896
2017-08-08,-0.17808994559616,-0.229507356868019
2017-08-09,-0.0892060660125038,-0.0246583029917868
2017-08-10,-1.60713839285713,-1.41151278454468
2017-08-11,0,0.134185740694059
2017-08-14,0.952808486714685,1.00979937892216
2017-08-15,0.0898876404494375,-0.0268320807970679
2017-08-16,0.0449079479119874,0.170432442732893
2017-08-17,-1.66068664000508,-1.53925279199614
2017-08-18,-0.182560474669113,-0.180876799224927
2017-08-21,-0.0914540424575061,0.119236508162768
2017-08-22,0.869569794050329,0.997702118667987
2017-08-23,-0.317613415716267,-0.336304950318522
2017-08-24,-0.0455166156357212,-0.205587891232095
2017-08-25,0.227691267199059,0.178490849809454
2017-08-28,-0.0454338936846987,0.0530545332876553
2017-08-29,-0.136368181818181,0.0982241498957093
2017-08-30,0.318625412773121,0.487485753861705
2017-08-31,0.725952780129191,0.576681530206202
2017-09-01,0.360360344127897,0.204837939678293
2017-09-05,-1.07719923351888,-0.755163737222142
2017-09-06,0.362976390064573,0.313683082252902
2017-09-07,-0.361663636452814,0.00502826686048508
2017-09-08,0.0453629743483175,-0.144626558895944
2017-09-11,1.31519733855769,1.08529800300439
2017-09-12,0.626678603401976,0.342337535613324
2017-09-13,0.0889679715302405,0.0770766897455477
2017-09-14,-0.0888888888888828,-0.0774307040578237
2017-09-15,0.266908362989327,0.197338967555938
2017-09-18,0.354924562780634,0.149318893445383
2017-09-19,0,0.112023317421084
2017-09-20,0.309460640607395,0.0635571382466393
2017-09-21,0.0440722765944424,-0.30135341605706
2017-09-22,0.176207040695719,0.0670109974191258
2017-09-25,-0.0879551451187233,-0.222328331131216
2017-09-26,-0.0880193700712795,0.0150747453537381
2017-09-27,0.70484578392751,0.408619995296244
2017-09-28,0.0874803111338585,0.141476080284986
2017-09-29,0.480773622411412,0.372913024943089
2017-10-02,0.652453240539375,0.387680492443421
2017-10-03,0.216084711153175,0.220302311263199
2017-10-04,0.301849922300579,0.131360628303545
2017-10-05,0.300945829750621,0.582027853177824
2017-10-06,-0.0428632661808703,-0.0759210136708655
2017-10-09,-0.300171526586623,-0.180430913187524
